#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_001661255.1	PRJNA352844	SAMN00138384	LWUN00000000.1	representative genome	683960	4927	Wickerhamomyces anomalus NRRL Y-366-8	strain=NRRL Y-366-8		latest	Scaffold	Major	Full	2016/09/09	Wican1	JGI-PSF	GCA_001661255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/255/GCF_001661255.1_Wican1		
GCF_000149425.1	PRJNA19593	SAMN02953607	AAFM00000000.1	representative genome	294746	4929	Meyerozyma guilliermondii ATCC 6260	strain=ATCC 6260		latest	Scaffold	Major	Full	2007/05/08	ASM14942v1	Broad Institute	GCA_000149425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/425/GCF_000149425.1_ASM14942v1		assembly from synonym type material
GCF_000146045.2	PRJNA128			reference genome	559292	4932	Saccharomyces cerevisiae S288C	strain=S288C		latest	Complete Genome	Major	Full	2014/12/17	R64	Saccharomyces Genome Database	GCA_000146045.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/045/GCF_000146045.2_R64		
GCF_000243375.1	PRJNA79345	SAMEA2272433		representative genome	4950	4950	Torulaspora delbrueckii	strain=type strain:CBS 1146		latest	Chromosome	Major	Full	2011/12/08	ASM24337v1	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	GCA_000243375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/375/GCF_000243375.1_ASM24337v1		assembly designated as neotype
GCF_000002525.2	PRJNA12414	SAMEA3138171		representative genome	284591	4952	Yarrowia lipolytica CLIB122	strain=CLIB122		latest	Chromosome	Major	Full	2004/07/02	ASM252v1	Genolevures Consortium	GCA_000002525.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/525/GCF_000002525.2_ASM252v1		
GCF_000026365.1	PRJNA39573	SAMEA3138235		representative genome	4956	4956	Zygosaccharomyces rouxii	strain=CBS 732		latest	Chromosome	Major	Full	2009/06/05	ASM2636v1	Genolevures Consortium	GCA_000026365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/365/GCF_000026365.1_ASM2636v1		assembly from type material
GCF_000006445.2	PRJNA12410	SAMEA3138183		representative genome	284592	4959	Debaryomyces hansenii CBS767	strain=CBS767		latest	Chromosome	Major	Full	2008/09/16	ASM644v2	Genolevures Consortium	GCA_000006445.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/445/GCF_000006445.2_ASM644v2		assembly from type material
GCF_002102565.1	PRJNA396742	SAMN05445367	NBSH00000000.1	representative genome	4999	4999	Kockovaella imperatae	strain=NRRL Y-17943		latest	Contig	Major	Full	2017/04/20	Kocim1	DOE Joint Genome Institute	GCA_002102565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/565/GCF_002102565.1_Kocim1		
GCF_000354255.1	PRJNA295860	SAMN00113370	AIHU00000000.1	representative genome	665024	5016	Bipolaris maydis ATCC 48331	strain=ATCC 48331		latest	Scaffold	Major	Full	2013/04/09	CocheC4_1	JGI	GCA_000354255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/354/255/GCF_000354255.1_CocheC4_1		
GCF_000523435.1	PRJNA245123	SAMN02981449	AMCN00000000.1	representative genome	930089	5017	Bipolaris zeicola 26-R-13	strain=26-R-13		latest	Scaffold	Major	Full	2014/01/30	Cochliobolus carbonum v1.0	JGI	GCA_000523435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/435/GCF_000523435.1_Cochliobolus_carbonum_v1.0		
GCF_000230375.1	PRJNA171003			representative genome	985895	5022	Leptosphaeria maculans JN3			latest	Scaffold	Major	Full	2010/11/17	ASM23037v1	Genoscope	GCA_000230375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/375/GCF_000230375.1_ASM23037v1		
GCF_000149585.1	PRJNA20041	SAMN02953633	AAJI00000000.1	representative genome	339724	5037	Histoplasma capsulatum NAm1	strain=NAm1		latest	Scaffold	Major	Full	2007/07/02	ASM14958v1	Broad Institute	GCA_000149585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/585/GCF_000149585.1_ASM14958v1		
GCF_001890905.1	PRJNA374040	SAMN00788628	MRCK00000000.1	representative genome	690307	5053	Aspergillus aculeatus ATCC 16872	strain=ATCC 16872		latest	Scaffold	Major	Full	2016/12/08	Aspac1	JGI	GCA_001890905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/905/GCF_001890905.1_Aspac1		assembly from type material
GCF_000002715.2	PRJNA18467	SAMN02953636	AAKD00000000.3	representative genome	344612	5057	Aspergillus clavatus NRRL 1	strain=NRRL 1		latest	Scaffold	Major	Full	2006/12/14	ASM271v1	J. Craig Venter Institute	GCA_000002715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/715/GCF_000002715.2_ASM271v1		
GCF_000006275.2	PRJNA38227	SAMN02953629	AAIH00000000.2	representative genome	332952	5059	Aspergillus flavus NRRL3357	strain=NRRL3357		latest	Scaffold	Major	Full	2009/01/14	JCVI-afl1-v2.0	J. Craig Venter Institute	GCA_000006275.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/275/GCF_000006275.2_JCVI-afl1-v2.0		
GCF_000002855.3	PRJNA19263	SAMEA3283178		representative genome	425011	5061	Aspergillus niger CBS 513.88			latest	Scaffold	Major	Full	2007/04/11	ASM285v2	DSM, The Netherlands	GCA_000002855.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/855/GCF_000002855.3_ASM285v2		
GCF_003184595.1	PRJNA479910	SAMN05660348	MSFR00000000.1	na	1450533	5061	Aspergillus lacticoffeatus CBS 101883	strain=CBS 101883		latest	Scaffold	Major	Full	2018/06/04	Asplac1	DOE Joint Genome Institute	GCA_003184595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/595/GCF_003184595.1_Asplac1		assembly designated as reftype
GCF_000184455.2	PRJNA28175	SAMD00067075		representative genome	510516	5062	Aspergillus oryzae RIB40	strain=RIB40		latest	Chromosome	Major	Full	2011/06/24	ASM18445v3	National Institute of Technology and Evaluation (NITE), Japan	GCA_000184455.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/455/GCF_000184455.2_ASM18445v3		
GCF_003019875.1	PRJNA453595	SAMN00788613	MADK00000000.1	representative genome	857342	5101	Amorphotheca resinae ATCC 22711	strain=ATCC 22711		latest	Scaffold	Major	Full	2018/03/27	Amore1	DOE Joint Genome Institute	GCA_003019875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/875/GCF_003019875.1_Amore1		
GCF_900079805.1	PRJNA322155	SAMEA3724789		representative genome	1279085	5127	Fusarium fujikuroi IMI 58289	strain=IMI 58289		latest	Chromosome	Major	Full	2013/08/20	Fusarium_fujikuroi_IMI58289_V2	HMGU-IBIS	GCA_900079805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/805/GCF_900079805.1_Fusarium_fujikuroi_IMI58289_V2		
GCF_000182925.2	PRJNA132	SAMN02953583	AABX00000000.3	representative genome	367110	5141	Neurospora crassa OR74A	strain=OR74A		latest	Chromosome	Major	Full	2013/10/25	NC12	Broad Institute	GCA_000182925.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/925/GCF_000182925.2_NC12		
GCF_000226545.1	PRJNA29799			representative genome	515849	5145	Podospora anserina S mat+			latest	Scaffold	Major	Full	2008/05/14	ASM22654v1	Genoscope - Centre National de Séquençage	GCA_000226545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/545/GCF_000226545.1_ASM22654v1		
GCF_000182805.2	PRJNA51569	SAMEA3138314	CABT00000000.2	representative genome	771870	5147	Sordaria macrospora k-hell	strain=k-hell		latest	Scaffold	Major	Full	2012/03/13	ASM18280v2	Ruhr University Bochum, Department of General and Molecular Botany	GCA_000182805.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/805/GCF_000182805.2_ASM18280v2		
GCF_000146945.2	PRJNA20263	SAMN02953621	AAGT00000000.1	representative genome	665079	5180	Sclerotinia sclerotiorum 1980 UF-70	strain=1980		latest	Scaffold	Minor	Full	2015/07/16	ASM14694v2	Broad Institute	GCA_000146945.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/945/GCF_000146945.2_ASM14694v2		
GCF_000091045.1	PRJNA10698	SAMN03081418		representative genome	214684	5207	Cryptococcus neoformans var. neoformans JEC21	strain=JEC21		latest	Chromosome	Major	Full	2005/01/07	ASM9104v1	TIGR	GCA_000091045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/045/GCF_000091045.1_ASM9104v1		
GCF_000149245.1	PRJNA177334	SAMN03081441		na	235443	5207	Cryptococcus neoformans var. grubii H99	strain=H99		latest	Chromosome	Major	Full	2014/02/07	CNA3	Broad Institute	GCA_000149245.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/245/GCF_000149245.1_CNA3		
GCF_000149385.1	PRJNA19119	SAMN02953604	AAEY00000000.1	na	283643	5207	Cryptococcus neoformans var. neoformans B-3501A	strain=B-3501A		latest	Chromosome	Major	Full	2004/07/16	ASM14938v1	Stanford University	GCA_000149385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/385/GCF_000149385.1_ASM14938v1		
GCF_000271645.1	PRJNA225529	SAMN02744056	AFVY00000000.1	representative genome	578456	5217	Tremella mesenterica DSM 1558	strain=Fries		latest	Scaffold	Major	Full	2012/06/22	Treme1	DOE Joint Genome Institute	GCA_000271645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/645/GCF_000271645.1_Treme1		
GCF_000328475.2	PRJNA14007	SAMN02900459	AACP00000000.2	representative genome	237631	5270	Ustilago maydis 521	strain=521		latest	Chromosome	Major	Full	2015/02/18	Umaydis521_2.0	Broad Institute	GCA_000328475.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/475/GCF_000328475.2_Umaydis521_2.0		
GCF_000711695.1	PRJNA292597	SAMN00794506	JMSN00000000.1	representative genome	1037660	5281	Tilletiaria anomala UBC 951	strain=UBC 951		latest	Contig	Major	Full	2014/05/23	Tilletiaria anomala UBC 951 v1.0	DOE Joint Genome Institute	GCA_000711695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/711/695/GCF_000711695.1_Tilletiaria_anomala_UBC_951_v1.0		assembly from type material
GCF_000320785.1	PRJNA264108	SAMN01081617	ALAU00000000.1	representative genome	1130832	5286	Rhodotorula toruloides NP11	strain=NP11		latest	Scaffold	Major	Full	2013/04/01	RHOziaDV1.0	Dalian Institute of Chemical Physics	GCA_000320785.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/785/GCF_000320785.1_RHOziaDV1.0		
GCF_000149925.1	PRJNA66375	SAMN00013043	AAWC00000000.1	representative genome	418459	5297	Puccinia graminis f. sp. tritici CRL 75-36-700-3	strain=CRL 75-36-700-3		latest	Scaffold	Major	Full	2008/08/26	ASM14992v1	Broad Institute	GCA_000149925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/925/GCF_000149925.1_ASM14992v1		
GCF_000271585.1	PRJNA242547	SAMN02981287	AEJI00000000.1	representative genome	717944	5325	Trametes versicolor FP-101664 SS1	strain=FP-101664 SS1		latest	Scaffold	Major	Full	2012/06/22	Trametes versicolor v1.0	JGI	GCA_000271585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/585/GCF_000271585.1_Trametes_versicolor_v1.0		
GCF_000143185.1	PRJNA51487	SAMN02194201	ADMJ00000000.1	representative genome	578458	5334	Schizophyllum commune H4-8	strain=H4-8		latest	Scaffold	Major	Full	2010/07/02	v1.0	US DOE Joint Genome Institute (JGI-PGF)	GCA_000143185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/185/GCF_000143185.1_v1.0		
GCF_000300555.1	PRJNA242539	SAMN00188834	AEOL00000000.1	na	597362	5341	Agaricus bisporus var. burnettii JB137-S8	strain=JB137-s8		latest	Scaffold	Major	Full	2012/10/16	Agabi_varbur_1	JGI	GCA_000300555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/555/GCF_000300555.1_Agabi_varbur_1		
GCF_000300575.1	PRJNA225500	SAMN02744070	AEOK00000000.1	representative genome	936046	5341	Agaricus bisporus var. bisporus H97	strain=H97		latest	Scaffold	Major	Full	2012/11/30	Agabi_varbisH97_2	JGI	GCA_000300575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/575/GCF_000300575.1_Agabi_varbisH97_2		
GCF_000182895.1	PRJNA29797	SAMN02953595	AACS00000000.2	representative genome	240176	5346	Coprinopsis cinerea okayama7#130	strain=okayama7#130		latest	Contig	Major	Full	2010/06/16	CC3	Broad Institute	GCA_000182895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/895/GCF_000182895.1_CC3		
GCF_000182965.3	PRJNA14005	SAMN02953594		representative genome	237561	5476	Candida albicans SC5314	strain=SC5314		latest	Chromosome	Major	Full	2016/10/12	ASM18296v3	Stanford University	GCA_000182965.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/965/GCF_000182965.3_ASM18296v3		
GCF_000002545.3	PRJNA12376	SAMEA3138172		representative genome	5478	5478	[Candida] glabrata	strain=CBS 138		latest	Chromosome	Major	Full	2008/08/12	ASM254v2	Genolevures Consortium	GCA_000002545.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/545/GCF_000002545.3_ASM254v2		assembly from type material
GCF_000006335.3	PRJNA39569	SAMN02953608	AAFN00000000.2	representative genome	294747	5482	Candida tropicalis MYA-3404	strain=MYA-3404		latest	Scaffold	Major	Full	2009/06/18	ASM633v3	Broad Institute	GCA_000006335.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/335/GCF_000006335.3_ASM633v3		
GCF_003327735.1	PRJNA495495	SAMN08818848	QLNQ00000000.1	representative genome	5486	5486	Candida viswanathii	strain=ATCC 20962		latest	Contig	Major	Full	2018/07/18	ASM332773v1	KRIBB	GCA_003327735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/327/735/GCF_003327735.1_ASM332773v1		
GCF_000149335.2	PRJNA16822	SAMN02953601	AAEC00000000.3	representative genome	246410	5501	Coccidioides immitis RS	strain=RS		latest	Scaffold	Major	Full	2009/10/29	ASM14933v2	Broad Institute	GCA_000149335.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/335/GCF_000149335.2_ASM14933v2		
GCF_000149955.1	PRJNA342688	SAMN02953675	AAXH00000000.1	representative genome	426428	5507	Fusarium oxysporum f. sp. lycopersici 4287	strain=4287		latest	Chromosome	Major	Full	2015/08/20	ASM14995v2	Broad Institute	GCA_000149955.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/955/GCF_000149955.1_ASM14995v2		
GCF_000240135.3	PRJNA243	SAMN02953593	AACM00000000.2	representative genome	229533	5518	Fusarium graminearum PH-1	strain=PH-1; NRRL 31084		latest	Chromosome	Major	Full	2008/11/21	ASM24013v3	International Gibberella zeae Genomics Consortium	GCA_000240135.3	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3		
GCF_003025095.1	PRJNA453596	SAMN00761861	MBGI00000000.1	representative genome	983964	5544	Trichoderma harzianum CBS 226.95	strain=CBS 226.95		latest	Scaffold	Major	Full	2018/03/30	Triha v1.0	DOE Joint Genome Institute	GCA_003025095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/025/095/GCF_003025095.1_Triha_v1.0		assembly from type material
GCF_000151425.1	PRJNA65025	SAMN02953760	ACPH00000000.1	representative genome	559305	5551	Trichophyton rubrum CBS 118892	strain=CBS 118892		latest	Scaffold	Major	Full	2009/11/30	ASM15142v1	Broad Institute	GCA_000151425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/425/GCF_000151425.1_ASM15142v1		
GCF_001642055.1	PRJNA342680	SAMN02745592	LXPP00000000.1	representative genome	5599	5599	Alternaria alternata	strain=SRC1lrK2f		latest	Scaffold	Major	Full	2016/05/11	Altal1	DOE Joint Genome Institute	GCA_001642055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/055/GCF_001642055.1_Altal1		
GCF_001661265.1	PRJNA352842	SAMN00760712	AEUO00000000.1	representative genome	698492	5606	Saitoella complicata NRRL Y-17804	strain=NRRL Y-17804		latest	Scaffold	Major	Full	2016/09/09	Saico1	JGI-PSF	GCA_001661265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/265/GCF_001661265.1_Saico1		assembly from type material
GCF_001720155.1	PRJNA352843	SAMN02086247	AWGH00000000.1	representative genome	1295528	5619	Cryptococcus wingfieldii CBS 7118	strain=CBS 7118		latest	Scaffold	Major	Full	2016/09/06	Tsuc_wing_CBS7118_V1	Broad Institute	GCA_001720155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/155/GCF_001720155.1_Tsuc_wing_CBS7118_V1		assembly from type material
GCF_000230625.1	PRJNA225511	SAMN00760826	AFPA00000000.1	representative genome	858893	5970	Exophiala dermatitidis NIH/UT8656	strain=NIH/UT8656		latest	Scaffold	Major	Full	2011/10/19	Exop_derm_V1	Broad Institute	GCA_000230625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/625/GCF_000230625.1_Exop_derm_V1		
GCF_000091225.1	PRJNA155	SAMEA3138295		representative genome	284813	6035	Encephalitozoon cuniculi GB-M1	strain=GB-M1		latest	Chromosome	Major	Full	2002/03/05	ASM9122v1	Genoscope	GCA_000091225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/225/GCF_000091225.1_ASM9122v1		
GCF_000225545.1	PRJNA245119	SAMN02981262	ADOT00000000.1	representative genome	756982	13349	Arthrobotrys oligospora ATCC 24927	strain=ATCC 24927		latest	Scaffold	Major	Full	2011/09/08	AOL24927 1.0	Laboratory for Conservation and Utilization of Bio-resources, Yunnan University, Kunming 650091, P. R. China	GCA_000225545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/545/GCF_000225545.1_AOL24927_1.0		
GCF_000146915.1	PRJNA21049	SAMN02953619	AAGI00000000.1	representative genome	321614	13684	Parastagonospora nodorum SN15	strain=SN15		latest	Scaffold	Major	Full	2007/11/20	ASM14691v2	Broad Institute	GCA_000146915.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/915/GCF_000146915.1_ASM14691v2		
GCF_000237345.1	PRJNA79343	SAMEA2271985		representative genome	1064592	27288	Naumovozyma castellii CBS 4309	strain=type strain:CBS 4309		latest	Chromosome	Major	Full	2011/08/01	ASM23734v1	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	GCA_000237345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/345/GCF_000237345.1_ASM23734v1		assembly from type material
GCF_000227115.2	PRJNA79341	SAMEA2272418		representative genome	1071378	27289	Naumovozyma dairenensis CBS 421	strain=type strain:CBS 421		latest	Chromosome	Major	Full	2012/08/20	ASM22711v2	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	GCA_000227115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/227/115/GCF_000227115.2_ASM22711v2		assembly from type material
GCF_001664035.1	PRJNA342692	SAMN00773783	LXTC00000000.1	representative genome	869754	27322	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	strain=NRRL YB-4993		latest	Scaffold	Major	Full	2016/06/17	Metbi1	DOE Joint Genome Institute	GCA_001664035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/035/GCF_001664035.1_Metbi1		assembly from type material
GCF_000769745.1	PRJNA319326	SAMN02928573	JQFZ00000000.1	representative genome	27334	27334	Penicillium expansum	strain=MD-8		latest	Contig	Major	Full	2014/10/28	ASM76974v1	Center for Genomic Regulation (CRG)	GCA_000769745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/745/GCF_000769745.1_ASM76974v1		
GCF_000150675.1	PRJNA225532	SAMN02953716	ABJE00000000.1	representative genome	498257	27337	Verticillium dahliae VdLs.17	strain=VdLs.17		latest	Scaffold	Major	Full	2011/09/15	ASM15067v2	Broad Institute	GCA_000150675.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/675/GCF_000150675.1_ASM15067v2		
GCF_000277815.2	PRJNA173349	SAMN03081428		representative genome	907965	27973	Encephalitozoon hellem ATCC 50504	strain=ATCC 50504		latest	Chromosome	Major	Full	2012/07/16	ASM27781v3	University of British Columbia	GCA_000277815.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/815/GCF_000277815.2_ASM27781v3		
GCF_000003125.1	PRJNA38857	SAMN02953686	ABAS00000000.1	representative genome	441959	28564	Talaromyces stipitatus ATCC 10500	strain=ATCC 10500		latest	Scaffold	Major	Full	2008/12/22	JCVI-TSTA1-3.0	J. Craig Venter Institute	GCA_000003125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/125/GCF_000003125.1_JCVI-TSTA1-3.0		assembly from type material
GCF_000002515.2	PRJNA12377	SAMEA3138170		representative genome	28985	28985	Kluyveromyces lactis	strain=NRRL Y-1140		latest	Complete Genome	Major	Full	2004/07/02	ASM251v1	Genolevures Consortium	GCA_000002515.1	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/515/GCF_000002515.2_ASM251v1		
GCF_000170995.1	PRJNA264113	SAMN02744059	ABDF00000000.2	representative genome	413071	29875	Trichoderma virens Gv29-8	strain=Gv29-8		latest	Scaffold	Major	Full	2011/11/29	TRIVI v2.0	DOE Joint Genome Institute	GCA_000170995.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/170/995/GCF_000170995.1_TRIVI_v2.0		
GCF_000143565.1	PRJNA29019	SAMN02769624	ABFE00000000.1	representative genome	486041	29883	Laccaria bicolor S238N-H82	strain=S238N-H82		latest	Scaffold	Major	Full	2008/01/11	V1.0	Laccaria Genome Consortium	GCA_000143565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/565/GCF_000143565.1_V1.0		
